fecha_info,codigo_entidad,nombre_entidad,sector,tipo_persona,tipo_segmento,deudores_total,deudores_irregulares,pct_irregular_cantidad,credito_total_miles_pesos,credito_irregular_miles_pesos,pct_irregular_monto,registros_situacion_1,registros_situacion_2,registros_situacion_3,registros_situacion_4,registros_situacion_5,registros_situacion_11
202604,00254,BANCO MARIVA S.A.,Financiero,total,Total,304,15,4.93,314243209.0,3636745.0,1.16,288,3,1,4,7,1
202604,00266,BNP PARIBAS,Financiero,desconocido,Desconocido,5,0,0.00,12411787.0,0.0,0.00,5,0,0,0,0,0
202604,00266,BNP PARIBAS,Financiero,empresa,Empresas,4,0,0.00,17094653.0,0.0,0.00,4,0,0,0,0,0
202604,00266,BNP PARIBAS,Financiero,persona_fisica,Familias,1,0,0.00,300.0,0.0,0.00,1,0,0,0,0,0
202604,00266,BNP PARIBAS,Financiero,total,Total,10,0,0.00,29506740.0,0.0,0.00,10,0,0,0,0,0
202604,00268,BANCO PROVINCIA DE TIERRA DEL FUEGO,Financiero,empresa,Empresas,358,59,16.48,11741192.0,2079552.0,17.71,299,20,14,9,16,0
202604,00268,BANCO PROVINCIA DE TIERRA DEL FUEGO,Financiero,persona_fisica,Familias,33803,4243,12.55,191177878.0,24043472.0,12.58,29560,853,785,1112,1493,0
202604,00268,BANCO PROVINCIA DE TIERRA DEL FUEGO,Financiero,total,Total,34161,4302,12.59,202919070.0,26123024.0,12.87,29859,873,799,1121,1509,0
202604,00269,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,Financiero,empresa,Empresas,13,4,30.77,952168.0,17201.0,1.81,9,0,0,0,4,0
202604,00269,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,Financiero,persona_fisica,Familias,104,17,16.35,76141.0,3302.0,4.34,87,0,0,3,14,0
202604,00269,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,Financiero,total,Total,117,21,17.95,1028309.0,20503.0,1.99,96,0,0,3,18,0
202604,00277,BANCO SAENZ S.A.,Financiero,empresa,Empresas,65,10,15.38,10692199.0,335844.0,3.14,55,0,0,1,9,0
202604,00277,BANCO SAENZ S.A.,Financiero,persona_fisica,Familias,43376,20390,47.01,34680399.0,20184222.0,58.20,22986,3429,4584,6947,5430,0
202604,00277,BANCO SAENZ S.A.,Financiero,total,Total,43441,20400,46.96,45372598.0,20520066.0,45.23,23041,3429,4584,6948,5439,0
202604,00281,BANCO MERIDIAN S.A.,Financiero,empresa,Empresas,153,27,17.65,18997507.0,1889167.0,9.94,124,4,3,1,19,2
202604,00281,BANCO MERIDIAN S.A.,Financiero,persona_fisica,Familias,2400,69,2.88,2047492.0,125060.0,6.11,2331,35,19,8,7,0
202604,00281,BANCO MERIDIAN S.A.,Financiero,total,Total,2553,96,3.76,21044999.0,2014227.0,9.57,2455,39,22,9,26,2
202604,00285,BANCO MACRO S.A.,Financiero,empresa,Empresas,43510,5730,13.17,5553353797.0,312406401.0,5.63,37371,1579,1502,945,1704,409
202604,00285,BANCO MACRO S.A.,Financiero,persona_fisica,Familias,1937242,280037,14.46,6391336864.0,920109576.0,14.40,1656888,49448,58705,51730,120154,317
202604,00285,BANCO MACRO S.A.,Financiero,total,Total,1980752,285767,14.43,11944690661.0,1232515977.0,10.32,1694259,51027,60207,52675,121858,726
202604,00299,BANCO COMAFI SOCIEDAD ANONIMA,Financiero,desconocido,Desconocido,1,0,0.00,16576145.0,0.0,0.00,1,0,0,0,0,0
202604,00299,BANCO COMAFI SOCIEDAD ANONIMA,Financiero,empresa,Empresas,5511,893,16.20,1762994421.0,44734593.0,2.54,4584,224,184,214,271,34
202604,00299,BANCO COMAFI SOCIEDAD ANONIMA,Financiero,persona_fisica,Familias,85830,10475,12.20,233390196.0,42205983.0,18.08,75283,3004,3659,2460,1352,72
202604,00299,BANCO COMAFI SOCIEDAD ANONIMA,Financiero,total,Total,91342,11368,12.45,2012960762.0,86940576.0,4.32,79868,3228,3843,2674,1623,106
202604,00300,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,Financiero,desconocido,Desconocido,2,0,0.00,11171232.0,0.0,0.00,2,0,0,0,0,0
202604,00300,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,Financiero,empresa,Empresas,1702,94,5.52,742167349.0,57976746.0,7.81,966,10,8,9,67,642
202604,00300,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,Financiero,persona_fisica,Familias,174,4,2.30,13868569.0,1960.0,0.01,68,0,0,0,4,102
202604,00300,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,Financiero,total,Total,1878,98,5.22,767207150.0,57978706.0,7.56,1036,10,8,9,71,744
202604,00301,BANCO PIANO S.A.,Financiero,empresa,Empresas,27,1,3.70,67090168.0,65.0,0.00,26,1,0,0,0,0
202604,00301,BANCO PIANO S.A.,Financiero,persona_fisica,Familias,85022,15835,18.62,121930597.0,19900980.0,16.32,69187,2718,2918,3670,6529,0
202604,00301,BANCO PIANO S.A.,Financiero,total,Total,85049,15836,18.62,189020765.0,19901045.0,10.53,69213,2719,2918,3670,6529,0
202604,00305,BANCO JULIO SOCIEDAD ANONIMA,Financiero,empresa,Empresas,260,27,10.38,25310400.0,4379564.0,17.30,233,6,9,6,6,0
202604,00305,BANCO JULIO SOCIEDAD ANONIMA,Financiero,persona_fisica,Familias,69,3,4.35,1852395.0,16549.0,0.89,66,1,1,0,1,0
202604,00305,BANCO JULIO SOCIEDAD ANONIMA,Financiero,total,Total,329,30,9.12,27162795.0,4396113.0,16.18,299,7,10,6,7,0
202604,00309,BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL,Financiero,empresa,Empresas,194,65,33.51,36700096.0,21783991.0,59.36,104,11,6,15,33,25
202604,00309,BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL,Financiero,persona_fisica,Familias,55951,10244,18.31,112979222.0,27376378.0,24.23,45650,3000,3129,2906,1209,57
202604,00309,BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL,Financiero,total,Total,56145,10309,18.36,149679318.0,49160369.0,32.84,45754,3011,3135,2921,1242,82
202604,00310,BANCO DEL SOL S.A.,Financiero,empresa,Empresas,429,96,22.38,77367094.0,12735464.0,16.46,333,21,35,34,6,0
202604,00310,BANCO DEL SOL S.A.,Financiero,persona_fisica,Familias,121018,29142,24.08,362212132.0,65863507.0,18.18,91876,7406,6395,8798,6543,0
202604,00310,BANCO DEL SOL S.A.,Financiero,total,Total,121447,29238,24.07,439579226.0,78598971.0,17.88,92209,7427,6430,8832,6549,0
202604,00311,NUEVO BANCO DEL CHACO S. A.,Financiero,empresa,Empresas,702,97,13.82,165056679.0,19848150.0,12.03,599,10,11,22,54,6
202604,00311,NUEVO BANCO DEL CHACO S. A.,Financiero,persona_fisica,Familias,216409,33074,15.28,493066109.0,67464016.0,13.68,183334,6666,6109,10692,9607,1
202604,00311,NUEVO BANCO DEL CHACO S. A.,Financiero,total,Total,217111,33171,15.28,658122788.0,87312166.0,13.27,183933,6676,6120,10714,9661,7
202604,00312,BANCO VOII S.A.,Financiero,empresa,Empresas,12,2,16.67,1775207.0,166126.0,9.36,10,0,0,1,1,0
202604,00312,BANCO VOII S.A.,Financiero,persona_fisica,Familias,42037,5622,13.37,76024575.0,7955873.0,10.46,36415,2064,1675,1190,693,0
202604,00312,BANCO VOII S.A.,Financiero,total,Total,42049,5624,13.37,77799782.0,8121999.0,10.44,36425,2064,1675,1191,694,0
202604,00315,BANCO DE FORMOSA S.A.,Financiero,empresa,Empresas,616,128,20.78,28629515.0,4717201.0,16.48,488,27,24,23,54,0
202604,00315,BANCO DE FORMOSA S.A.,Financiero,persona_fisica,Familias,106058,9255,8.73,223989170.0,20512533.0,9.16,96803,1936,1653,2562,3104,0
202604,00315,BANCO DE FORMOSA S.A.,Financiero,total,Total,106674,9383,8.80,252618685.0,25229734.0,9.99,97291,1963,1677,2585,3158,0
202604,00319,BANCO CMF S.A.,Financiero,empresa,Empresas,572,22,3.85,480601626.0,12183477.0,2.54,548,3,2,5,12,2
202604,00319,BANCO CMF S.A.,Financiero,persona_fisica,Familias,5,2,40.00,159748.0,383.0,0.24,3,0,0,0,2,0
202604,00319,BANCO CMF S.A.,Financiero,total,Total,577,24,4.16,480761374.0,12183860.0,2.53,551,3,2,5,14,2
202604,00321,BANCO DE SANTIAGO DEL ESTERO S.A.,Financiero,empresa,Empresas,144,69,47.92,182460689.0,9480665.0,5.20,75,19,21,17,12,0
202604,00321,BANCO DE SANTIAGO DEL ESTERO S.A.,Financiero,persona_fisica,Familias,266609,39514,14.82,371013832.0,59812554.0,16.12,227095,5178,6744,12291,15301,0
202604,00321,BANCO DE SANTIAGO DEL ESTERO S.A.,Financiero,total,Total,266753,39583,14.84,553474521.0,69293219.0,12.52,227170,5197,6765,12308,15313,0
202604,00322,BANCO INDUSTRIAL S.A.,Financiero,empresa,Empresas,1148,124,10.80,1165683233.0,16232566.0,1.39,1024,33,38,42,11,0
202604,00322,BANCO INDUSTRIAL S.A.,Financiero,persona_fisica,Familias,473023,41304,8.73,171779032.0,16458299.0,9.58,431719,18622,11417,8481,2784,0
202604,00322,BANCO INDUSTRIAL S.A.,Financiero,total,Total,474171,41428,8.74,1337462265.0,32690865.0,2.44,432743,18655,11455,8523,2795,0
202604,00330,NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA,Financiero,empresa,Empresas,4555,346,7.60,946510971.0,29672876.0,3.13,4209,76,47,100,123,0
202604,00330,NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA,Financiero,persona_fisica,Familias,432094,38549,8.92,1170368950.0,133797880.0,11.43,393545,11683,8716,10084,8066,0
202604,00330,NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA,Financiero,total,Total,436649,38895,8.91,2116879921.0,163470756.0,7.72,397754,11759,8763,10184,8189,0
202604,00331,BANCO CETELEM ARGENTINA S.A.,Financiero,empresa,Empresas,4,0,0.00,4581115.0,0.0,0.00,4,0,0,0,0,0
202604,00331,BANCO CETELEM ARGENTINA S.A.,Financiero,total,Total,4,0,0.00,4581115.0,0.0,0.00,4,0,0,0,0,0
202604,00332,BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU,Financiero,persona_fisica,Familias,514754,248714,48.32,446852377.0,260732177.0,58.35,266040,28134,38222,91403,90955,0
202604,00332,BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU,Financiero,total,Total,514754,248714,48.32,446852377.0,260732177.0,58.35,266040,28134,38222,91403,90955,0
