fecha_info,codigo_entidad,nombre_entidad,sector,tipo_segmento,situacion_codigo,situacion_descripcion,deudores,monto_total_miles_pesos,monto_promedio_miles_pesos,pct_deudores_segmento,pct_monto_segmento,registros_origen
202604,00131,BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES,Financiero,Total,1,Situacion normal,1,90871012.0,90871012.0,100.00,100.00,1
202604,00143,BRUBANK S.A.U.,Financiero,Empresas,1,Situacion normal,492,16305575.0,33141.4,89.62,97.94,492
202604,00143,BRUBANK S.A.U.,Financiero,Empresas,2,Con seguimiento especial / riesgo bajo,18,92793.0,5155.2,3.28,0.56,18
202604,00143,BRUBANK S.A.U.,Financiero,Empresas,3,Con problemas / riesgo medio,19,51299.0,2699.9,3.46,0.31,19
202604,00143,BRUBANK S.A.U.,Financiero,Empresas,4,Con alto riesgo de insolvencia / riesgo alto,16,162893.0,10180.8,2.91,0.98,16
202604,00143,BRUBANK S.A.U.,Financiero,Empresas,5,Irrecuperable,4,36677.0,9169.2,0.73,0.22,4
202604,00143,BRUBANK S.A.U.,Financiero,Familias,1,Situacion normal,58914,58581827.0,994.4,75.49,69.30,58914
202604,00143,BRUBANK S.A.U.,Financiero,Familias,2,Con seguimiento especial / riesgo bajo,4610,4949279.0,1073.6,5.91,5.85,4610
202604,00143,BRUBANK S.A.U.,Financiero,Familias,3,Con problemas / riesgo medio,4375,5163347.0,1180.2,5.61,6.11,4375
202604,00143,BRUBANK S.A.U.,Financiero,Familias,4,Con alto riesgo de insolvencia / riesgo alto,5754,8786251.0,1527.0,7.37,10.39,5754
